judul,penulis,abstraksi
PENGARUH KEPEMIMPINAN DAN KOMPENSASI TERHADAP KINERJA PEGAWAI DINAS PENDIDIKAN KABUPATEN SAMPANG,Penulis : Hendri Wahyudi Prayitno,"Abstrak
Penelitian ini menggunakan metode kuantitatif, yang menekankan pada pengujian hipotesis. Variabel yang digunakan pada penelitian ini adalah kepemimpinan(X1), kompensasi (X2). Penelitian ini dilaksanakan di Kantor Dinas Pendidikan Kabupaten Sampang dan sampel yang digunakan adalah sebanyak 50 orang yang terdiri dari pegawai negeri sipil dan non PNS. 
Hipotesis pertama menjelaskan bahwa variabel bebas secara bersama–sama mempunyai hubungan yang signifikan secara simultan antara kepemimpinan (X1) dan kompensasi (X2) terhadap kinerja pegawai (Y), hal ini terbukti dengan nilai Fhitung pada tingkat ? = 5% sebesar 11,645 dengan nilai R2 sebesar 0,311. 
Hipotesis kedua menjelaskan bahwa variabel kompensasi sebagai variabel yang mempunyai pengaruh dominan, hal ini terbukti dengan nilai t hitung 3,072 ini berarti bahwa terdapat pengaruh positif dan signifikan secara parsial antara variabel bebas (X2) terhadap variabel terikat (Y). 
Kesimpulan penelitian ini adalah pengujian hipotesis pertama menunjukkan bahwa berdasarkan pengujian statistik secara simultan, variabel  bebas memiliki pengaruh yang signifikan terhadap variabel terikat. Pengujian hipotesis kedua membuktikan bahwa variabel kompensasi (X2) merupakan variabel yang berpengaruh dominan terhadap kinerja pada pegawai Dinas Pendidikan Kabupaten Sampang. 
Kata kunci : Kepemimpinan, Kompensasi, Kinerja"
Pengukuran Website Quality Pada Situs Sistem Akademik Online Menggunakan Analisis Tingkat Kepentingan - Kinerja (Studi Pada Portal Akademik UTM),Penulis : Muhammad Zakaria Utomo,"Aplikasi nyata pemanfaatan teknologi informasi dan komunikasi adalah pada bidang layanan administrasi akademik perguruan tinggi, salah satunya sistem portal akademik Universitas Trunojoyo Madura. Implementasi dalam proses penyelenggaraannya sering menemui banyak kendala, baik teknis maupun non teknis. Penelitian ini bertujuan untuk mengetahui kepuasan pelanggan berdasarkan analisis indeks kepuasan pelanggan ditinjau dari Webqual 4.0 dan untuk mengetahui fokus perbaikan mutu terhadap pelayanan website portal akademik Universitas Trunjoyo Madura berdasarkan Importance Performance Analysis ditinjau dari Webqual 4.0.
	Penelitian ini merupakan penelitian kuantitaif deskriptif, digunakan untuk mengetahui gambaran, deskripsi, atau lukisan secara sistematis, faktual dan akurat mengenai kualitas pelayanan jasa online yang diberikan kepada mahasiswa.Sampelpenelitianiniadalahmahasiswaangkatan 2009/2010, teknik sampel yang digunakan teknik Stratified Random Sampling dengan alat analisis Indeks Kepuasan Pelanggan dan analisis Tingkat Kepentingan – Kinerja. Hasil penelitian didapat skor Indeks Kepuasan Pelanggan (IKP) sebesar 60.42% dan masuk dalam kategori “cukup puas”, sedangkan Diagram  Kartesius Importance Performance menunjukkan bahwa terdapat  tiga atribut yang menjadi prioritas utama perbaikan mutu yakni Situs portal akademik Universitas Trunojoyo Madura memberikan informasi administrasi dan akademik mahasiswa yang jelas,detail dan ter update (KI 4), Informasi administrasi dan akademik disitus portal akademik UTM dapat dipercaya  (KI 3), Melalui portal UTM, pengguna merasa aman bahwa data akademik mahasiswa (KRS, KHS, Transkrip, data personal) sesuai (KIP 4).
Kata kunci : website, importance performance, webqual, indeks kepuasan pelanggan."
ANALISIS PERSEPSI BRAND ASSOCIATION MENURUT PELANGGAN PAKAIAN KIDDROCK (STUDI PADA DISTRO CRANBERRIES PAMEKASAN),Penulis : Faishal,"Tujuan penelitian ini adalah untuk mengetahui persepsi brand association menurut pelanggan pakaian Kiddrock (studi pada distro Cranberries Pamekasan). Penelitian ini menggunakan metode deskriptif, dengan  metode survei.
Populasi penelitian ini adalah pelanggan pakaian Kiddrock di distro Cranberries dan Sampel dalam penelitian ini adalah 70 orang responden di distro Cranberries pada bulan Desember 2012. Metode pengambilan sampel yang digunakan adalah sampling aksidental. Metode pengumpulan data dengan cara penelitian lapangan (field research) dengan membagikan kuesioner dan riset perpustakaan data. Teknik pengolahan data yang digunakan ialah pengolaha data dengan bantuan perangkat lunak SPSS versi 16 (uji validitas dan uji reabilitas) dan menggunakan skala likert.
Persepsi konsumen terhadap brand association terdiri dari beberapa dimensi, yaitu: dimensi jaminan, dimensi identifikasi pribadi, dimensi identifikasi sosial, dimensi status, dimensi kesediaan menerima perluasan merek, dan dimensi kesediaan untuk merekomendasikan merek. Hasil analisis menunjukan bahwa persepsi brand association menurut pelanggan pakaian Kiddrock di distro Cranberriess lebih di apresisasikan pada dimensi jaminan.

Kata kunci : Brand Association, Presepsi, Kiddrock, Cranberries."
analisis faktor-faktor yang berpengaruh terhadap kebijakan deviden pada perusahaan manufaktur yang terdaftar di BEI periode 2008-2011,Penulis : Jailani,"ABSTRAK
Tujuan penelitian ini adalah untuk mengetahui pengaruh variabel current ratio, return on equity, firm size, leverage dan business risk terhadap kebijakan deviden pada perusahaan manufaktur yang terdaftar di Bursa Efek Indonesia pada periode 2008-2011. Pendekatan penelitian yang digunakan dalam penelitian ini adalah kuantitatif. Sampel dalam penelitian ini adalah perusahaan manufaktur yang membagikan deviden secara berturut-turut selama periode 2008-2011. Metode pengambilan sampel yang digunakan adalah purposive sampling. Untuk pengujian instrumen menggunakan uji Asumsi Klasik, sedangkan teknik analisis data yang digunakan untuk menguji hipotesis adalah menggunakan regresi linier berganda dengan memakai uji F dan uji t. Berdasarkan hasil penelitian menunjukkan bahwa nilai R Square sebesar 0,469. Berdasarkan uji F variabel current ratio, return on equity, firm size, leverage dan businees risk secara simultan berpengaruh signifikan terhadap dividend payout ratio. Berdasarkan uji t diketahui bahwa secara parsial variabel current ratio, firm size dan businees risk berpengaruh signifikan terhadap dividend payout ratio sedangkan variabel return on equity dan leverage tidak berpengaruh signifikan terhadap dividend payout ratio.
Kata kunci : current ratio, return on equity, firm size, leverage dan businees risk"
PENGARUH FAKTOR-FAKTOR PELATIHAN DAN PENGEMBANGAN TERHADAP PRODUKTIVITAS KERJA DINAS KELAUTAN DAN PERIKANAN KABUPATEN BANGKALAN,Penulis : SATIYAH,"ABSTRAK
Satiyah, Pengaruh Faktor-faktor Pelatihan dan Pengembangan Terhadap Produktivitas Kerja Dinas Kelautan dan Perikanan Bangkalan. Dibawah bimbingan Dra.Hj.S.Anugrahini Irawati,MM dan  Helmi Buyung Aulia,S,ST.SE,M.MT
Dalam upaya meningkatkan produktivitas kerja tidaklah mudah, oleh karena itu salah satu usaha agar produktivitas meningkat adalah menerapkan program pelatihan dan pengembangan sumber daya manusia (SDM) perlu dilaksanakan dalam instansi agar produktivitas yang tinggi dapat tercapai dengan meningkat kemampuan pegawai agar dapat bekerja secara efektif dan efisien. Dengan adanya pelatihan dan pengembnagan diharapkan pegawai juga mampu menyesuaikan diri dengan kebutuhan-kebutuhan baru atas sikap, tingkah laku keterampilan dan pengetahuan sesuai dengan tuntutan perubahan. Dengan adanya pelatihan dan pengembangan pegawai yang baik dapat mendukung terciptanya suasana kerja yang kondusif dalam instansi, sehingga dengan sendirinya produktivitasi kerja akan meningkat.
Tujuan penelitian ini adalah untuk mengetahui seberapa besar Pengaruh Faktor-faktor Pelatihan dan Pengembangan Terhadap Produktivitas Kerja Dinas Kelautan dan Perikanan Bangkalan. Untuk mengukur dan menganalisa hubungan antara kedua variabel di atas, peneliti menggunakan pendekatan observasional analitik, yaitu melakukan pengamatan secara langsung kepada responden dengan penyebaran kuisioner untuk dianalisis. Penelitian ini merupakan penelitian populasi dengan 30 responden sebagai sampel serta diolah dengan SPSS Versi 13.00 dan dianalisis dengan menggunakan metode statistik, yaitu metode non probality sampling secara simple random sampling.
Kesimpulan penelitian ini adalah (1a). Faktor-faktor pelatihan dan pengembangan yang terdiri dari, perbedaan individu pegawai (X1), hubungan dengan analisis jabatan (X2), motivasi (X3), partisipasi aktif (X4), seleksi peserta (X5), seleksi  instruktur (X6) dan metode pelatihan dan pengembangan (X7) mempunyai pengaruh simultan terhadap produktivitas kerja pegawai Dinas Kelautan dan Perikanan Kabupaten Bangkalan. Terbukti dengan nilai koefisien determinasi berganda (R2) atau R square = 0,751, Fhitung 9,500 lebih besar dari Ftabel 2,37. (1b) Faktor hubungan dengan analisis jabatan tidak berpengaruh secara parsial terhadap produktivitas kerja pegawai Dinas Kelautan dan Perikanan Kabupaten Bangkalan. (2) Pengujian Hipotesis kedua menunjukkan bahwa variabel motivasi (X3) tidak terbukti, karena dilihat dari nilai thitung Sebesar 6,442 menunjukkan bahwa seleksi peserta (X5) yang mempunyai pengaruh (dominan) terhadap produktivitas kerja pegawai pada instansi Dinas Kelautan dan Perikanan Bangkalan. 

Kata kunci : Dinas Kelautan dan Perikanan, Faktor-faktor Pelatihan dan Pengembangan,  Produktivitas Kerja."
"ANALISIS TINGKAT RISIKO KREDIT 
PADA PD. BPR BANK DAERAH LAMONGAN",Penulis : Iwan Kurniawan Gomes,"Hasil dari penelitian ini dari perhitungan Credit Risk Ratio menunjukan bahwa NPL Pada PD. BPR Bank Daerah Lamongan selama empat tahun (2008-2011) mengalami penurunan hal ini terlihat dari tingkat resiko pada tahun 2008 yang sebesar 8.893.499.978 atau sebesar 9,91%, tahun 2009 sebesar 7.501.778.630 atau sebesar 6,68%, tahun 2010 sebesar 7.986.193.006 atau sebesar 5,40% dan tahun 2011 sebesar 6.555.778.682 atau sebesar 4,88%.
Kesimpulan penelitian ini adalah tingkat resiko pada PD. BPR Bank Daerah Lamongan dari tahun (2008-2011) mengalami penurunan tingkat resiko dan pada tahun 2011 NPL 4,88% dikatagorikan baik berdasarkan ketentuan Bank Indonesia yaitu dengan syarat NPL maksimal sebesar 5%.
Kata kunci : Credit Risk Ratio dan Non Performing Loan."
Pengaruh Harga dan Kualitas Pelayanan terhadap Kepuasan Berbelanja pada Swalayan Tom & Jerry Bangkalan,Penulis : ALI RAHBINI,"Ali Rahbini, Pengaruh Harga dan Kualitas Pelayanan Terhadap Kepuasan Berbelanja pada Swalayan Tom & Jerry Bangkalan dibawah bimbingan Pribanus Wantara dan Nirma Kurriwati. .
Penelitian ini bertujuan untuk mengukur pengaruh Harga dan Kualitas Pelayanan Terhadap Kepuasan Berbelanja di Swalayan Tom & Jerry yang dilakukan terhadap konsumen yang berbelanja di swalayan Tom & Jerry dengan jumlah responden penelitian sebanyak 70 responden, data yang terkumpul selanjutnya dilakukan analisis Regresi Linier Berganda. Dengan menggunakan alat bantu software SPSS 16.0. hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: bahwa harga dan kualitas pelayanan mempunyai pengaruh secara simultan terhadap kepuasan berbelanja di swalayan Tom & Jerry, dan Secara Parsial variabel harga, kehandalan, daya tanggap, jaminan, empati dan bukti fisik mempunyai pengaruh parsial terhadap kepuasan berbelanja di swalayan Tom & Jerry Bangkalan, serta variabel harga merupakan variabel yang dominan berpengaruh terhadap kepuasan berbelanja di swalayan Tom & Jerry Bangkalan.  

Kata Kunci : Harga, Keandalan, Daya Tanggap, Jaminan, Empati, Bukti Fisik"
ANALISIS CONSUMER DECISION MODEL (CDM) UNTUK MENGUKUR EFEKTIFITAS IKLAN COCA-COLA VERSI PIALA DUNIA 2010 DI TELEVISI (Studi Kasus Pada Mahasiswa Universitas Trunojoyo Madura),Penulis : SYAIFUL ANWAR,"ABSTRAK

Penelitian ini bertujuan untuk mengukur efektivitas iklan menggunakan Consumer Decision Model (CDM) yang dilakukan terhadap mahasiswa Universitas Trunojoyo Madura dengan jumlah responden penelitian sebanyak 98 orang mahasiswa, data yang terkumpul selanjutnya dilakukan analisis jalur (path analysis). Dengan menggunakan alat bantu software SPSS 13.0. hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: dari 8 pengaruh langsung terdapat 6 pengaruh langsung yang signifikan dan 2 pengaruh langsung yang tidak signifikan, selanjutnya dari 4 pengaruh tidak langsung terdapat 2 pengaruh tidak langsung yang signifikan dan 2 pengaruh tidak langsung yang tidak signifikan.
Kata kunci : CDM analisis jalur, pesan iklan, pengenalan merek, keyakinan konsumen, sikap konsumen, niat beli, Pembelian Nyata."
PENGARUH TIPE KEPEMIMPINAN TERHADAP PRESTASI KERJA PEGAWAI PADA KANTOR KECAMATAN PANGARENGAN KABUPATEN SAMPANG,Penulis : Dharma Abidin Syah,"ABSTRAK
	Dharma Abidin Syah,Kesimpulan: (1) Terdapat pengaruh signifikan antara variabel tipe kepemimpinan (Autoritarian, Laissez-Faire, dan Demokratis), secara simultan terhadap variabel Prestasi Kerja pegawai di kantor Kecamatan Pangarengan Kabupaten Sampang. Hasil uji F anova menunjukan bahwa nilai Fhitung (6,459) > Ftabel (2,92). Variabel tipe kepemimpinan (Autoritarian, Laissez-Faire, dan Demokratis), secara simultan memberikan kontribusi sebesar 42,7% terhadap Prestasi Kerja pegawai.(2) Tidak terdapat pengaruh signifikan antara variabel kepemimpinan Tipe Autoritariansecara parsial terhadap Prestasi Kerja pegawaidikantor Kecamatan Pangarengan Kabupaten Sampang. Hasil uji t menunjukan bahwa nilai t hitung (0,652) < t tabel (2,045). Secara parsial variabel kepemimpinan Tipe Autoritarian memberikan kontribusi sebesar 1,61% terhadap variabel Prestasi Kerja pegawai. (3) Tidak terdapat pengaruh signifikan antara variabel kepemimpinan Tipe Laissez-Fairesecara parsial terhadap Prestasi Kerja pegawaidikantor Kecamatan Pangarengan Kabupaten Sampang.
	Hasil uji t menunjukan bahwa nilai t hitung (1,617) < t tabel (2,045). Secara parsial variabel kepemimpinan Tipe Laissez-Faire memberikan kontribusi sebesar 9,12% terhadap variabel Prestasi Kerja pegawai. (4) Terdapat pengaruh signifikan antara variabel kepemimpinan Tipe Demokratis secara parsial terhadap Prestasi Kerja pegawaidikantor Kecamatan Pangarengan Kabupaten Sampang. Hasil uji t menunjukan bahwa nilai t hitung (3,624) > t tabel (2,045). Secara parsial variabel kepemimpinan Tipe Demokratis memberikan kontribusi sebesar 33,52% terhadap variabel Prestasi Kerja pegawai. (5) Variabel Tipe Demokratis mempunyai nilai koefisien determinasi lebih besar daripada variabel bebas lainya dan merupakan variabel dominan berpengaruh terhadap variabel Prestasi Kerja pegawai dikantor Kecamatan Pangarengan Kabupaten Sampang
Kata Kunci: Tipe Kepemimpinan, Prestasi Kerja, Pegawai."
